gene	group	dataset_id	Motor_ctx	PFC	Striatum	Thalamus	Hippocampus	Subst_nigra	Midbrain
Cacna1g	spindle_osc	68843793	8.0419	7.8315	1.0542	13.2078	5.2502	6.6864	6.5842
Cacna1h	spindle_osc	69236909	7.4961	5.7376	11.108	4.9003	10.6039	5.0755	5.1296
Hcn1	spindle_osc	74579938	7.1023	4.3289	0.8798	0.6025	5.9404	1.0573	2.1233
Kcnq2	spindle_osc	73496947	4.4296	3.1896	1.0669	1.5377	3.8481	0.7216	0.9787
Gad1	gaba	480	7.4529	7.3396	13.3539	4.4551	7.6903	11.0242	9.4083
Gad2	gaba	79903740	5.4591	6.0303	14.6172	5.0549	5.7066	12.1281	10.3812
Pvalb	gaba	75496619	6.1232	4.4334	1.8711	6.1259	3.3876	7.345	8.1716
Sst	gaba	1002	3.7073	4.281	1.7436	2.2159	4.2668	1.7063	2.9613
Drd1	corticostr	71307280	0.8018	1.2814	21.5144	0.4018	0.9877	0.125	0.602
Drd2	corticostr	358	1.8188	0.113	10.9117	0.1793	0.1397	6.0301	0.8842
Foxp1	corticostr	69288998	5.1089	3.7944	14.7054	1.0916	2.3879	0.1387	0.4464
Slc17a7	corticostr	69014470	33.6323	37.6287	4.2058	9.048	26.327	0.4281	4.4687
